All Blacks		Kapa-o-Pango	all_blacks_5801_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5801/All_Blacks.5801.main_glosses.mb.r480x360.mp4	1.1.1	chest	sports, recreation and hobbies	all blacks	all|blacks			kapa-o-pango	kapa-o-pango
all of them		rātou katoa	all_of_them_2415_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2415/all_of_them.2415.main_glosses.mb.r480x360.mp4	5.1.1	fingers/thumb	pronouns|quantity and measure	all of them	all|of|them			ratou katoa	ratou katoa
all over		puta noa	all_over_1436_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1436/all_over.1436.main_glosses.mb.r480x360.mp4	2.1.1	in front of body	direction, location and spatial relations	all over	all|over			puta noa	puta noa
alphabet		wakapū	alphabet_4998_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4998/alphabet.4998.main_glosses.sp.r480x360.mp4	5.1.1	fingers/thumb	education|language and linguistics	alphabet	alphabet			wakapu	wakapu
altar		ahurewa, tūāhu	altar_4999_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4999/altar.4999.main_glosses.sp.r480x360.mp4	1.1.3	in front of body	religions	altar	altar			ahurewa, tuahu	ahurewa|tuahu
angle		koki	angle_6361_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6361/angle.6361.main_glosses.dh.r480x360.mp4	1.1.1	in front of body	maths	angle	angle			koki	koki
angle		koki	angle_6362_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6362/angle.6362.main_glosses.dh.r480x360.mp4	1.1.1	back of hand	maths	angle	angle			koki	koki
animal		kararehe	animal_4733_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4733/animal.4733.main_glosses.mb.r480x360.mp4	6.6.2	in front of body	animals	animal	animal			kararehe	kararehe
animal		kararehe	animal_1861_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1861/animal.1861.main_glosses.rp.r480x360.mp4	2.3.1	in front of body	animals	animal	animal			kararehe	kararehe
ankle		punga	ankle_2674_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2674/ankle.2674.main_glosses.sp.r480x360.mp4	5.1.2	upper leg	body and appearance	ankle	ankle			punga	punga
anniversary		huritau	anniversary_2615_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2615/anniversary.2615.main_glosses.vs.r480x360.mp4	5.1.1	fingers/thumb	events and celebrations	anniversary	anniversary			huritau	huritau
annual		ā-tau	annual_2616_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2616/annual.2616.main_glosses.jt.r480x360.mp4	5.1.1	fingers/thumb	time	annual	annual			a-tau	a-tau
anus		tou, nono	anus_5457_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5457/anus.5457.main_glosses.jt.r480x360.mp4	4.3.1	in front of body	body and appearance	anus	anus			tou, nono	tou|nono
